,target
0,0
1,0
2,0
3,1
4,2
5,0
6,1
7,2
8,0
9,1
10,0
11,1
12,2
13,1
14,1
15,2
16,0
17,2
18,0
19,1
20,1
21,0
22,2
23,0
24,2
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,2
34,2
35,0
36,0
37,0
38,2
39,0
40,1
41,1
42,1
43,2
44,1
45,2
46,1
47,1
48,0
49,2
50,0
51,1
52,1
53,1
54,0
55,1
56,2
57,2
58,0
59,2
60,0
61,0
62,2
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,2
72,1
73,1
74,2
75,1
76,1
77,1
78,0
79,2
80,2
81,2
82,0
83,2
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,2
97,2
98,0
99,0
100,1
101,2
102,1
103,0
104,2
105,0
